Номер документа,Наименование товара,Цена (руб),Покупатель
DOC-2024-1000,Мышь Logitech MX Master 3,8626.56,АО ДельтаСофт
DOC-2024-1001,Наушники Sony WH-1000XM4,37365.56,ООО КаппаТех
DOC-2024-1002,Мышь Logitech MX Master 3,103121.43,АО НюКорп
DOC-2024-1003,Корпус Fractal Design,17606.13,ИП Жданов М.С.
DOC-2024-1004,Монитор Dell 27 дюймов,9320.6,ООО ГаммаПро
DOC-2024-1005,Наушники Sony WH-1000XM4,78276.52,ООО Альфа-Системс
DOC-2024-1006,Корпус Fractal Design,33831.46,ИП Иванов И.И.
DOC-2024-1007,Корпус Fractal Design,65830.37,ООО ЗетаГрупп
DOC-2024-1008,Кулер Noctua NH-D15,45337.65,ООО МюСистемс
DOC-2024-1009,Ноутбук Lenovo ThinkPad X1,115027.07,ИП Васильев А.П.
DOC-2024-1010,Видеокарта NVIDIA RTX 3060,54336.32,ИП Васильев А.П.
DOC-2024-1011,Веб-камера Logitech C920,143795.9,ООО Эпсилон
DOC-2024-1012,Мышь Logitech MX Master 3,18448.15,ЗАО БетаТех
DOC-2024-1013,SSD Samsung 1TB,127886.68,ООО ТетаЛаб
DOC-2024-1014,Роутер TP-Link AC1750,122033.6,ООО КаппаТех
DOC-2024-1015,Процессор Intel Core i7,82753.07,АО НюКорп
DOC-2024-1016,ОЗУ Kingston 16GB,16426.03,АО ДельтаСофт
DOC-2024-1017,USB флешка SanDisk 128GB,133390.5,ООО Эпсилон
DOC-2024-1018,Кулер Noctua NH-D15,32881.85,ЗАО БетаТех
DOC-2024-1019,Монитор Dell 27 дюймов,100883.18,ЗАО ЛямбдаСофт
DOC-2024-1020,Коммутатор Cisco SG250,147857.12,ООО МюСистемс
DOC-2024-1021,Наушники Sony WH-1000XM4,130640.13,ИП Жданов М.С.
DOC-2024-1022,Роутер TP-Link AC1750,70744.49,ООО МюСистемс
DOC-2024-1023,SSD Samsung 1TB,28584.84,ООО Эпсилон
DOC-2024-1024,Веб-камера Logitech C920,102175.4,ООО КаппаТех
DOC-2024-1025,Клавиатура Logitech MX Keys,93324.0,ИП Васильев А.П.
DOC-2024-1026,Корпус Fractal Design,110723.39,ИП Васильев А.П.
DOC-2024-1027,Процессор Intel Core i7,60021.04,АО НюКорп
DOC-2024-1028,Корпус Fractal Design,36844.2,ООО Эпсилон
DOC-2024-1029,Монитор Dell 27 дюймов,38211.97,ООО Альфа-Системс
DOC-2024-1030,Жесткий диск Seagate 2TB,63168.89,ЗАО БетаТех
DOC-2024-1031,Веб-камера Logitech C920,137404.74,ООО ТетаЛаб
DOC-2024-1032,Жесткий диск Seagate 2TB,35830.85,ООО ЗетаГрупп
DOC-2024-1033,ОЗУ Kingston 16GB,133279.06,ИП Иванов И.И.
DOC-2024-1034,Процессор Intel Core i7,25716.38,ИП Васильев А.П.
DOC-2024-1035,Наушники Sony WH-1000XM4,113023.4,АО ЭтаТрейд
DOC-2024-1036,Роутер TP-Link AC1750,113317.0,ИП Жданов М.С.
DOC-2024-1037,Кулер Noctua NH-D15,62913.07,ООО ГаммаПро
DOC-2024-1038,Принтер HP LaserJet,78881.31,ЗАО БетаТех
DOC-2024-1039,Монитор Dell 27 дюймов,129859.92,ИП Васильев А.П.
DOC-2024-1040,Сканер Canon CanoScan,119851.51,ИП Жданов М.С.
DOC-2024-1041,USB флешка SanDisk 128GB,14211.52,ИП Жданов М.С.
DOC-2024-1042,USB флешка SanDisk 128GB,149437.6,АО ЭтаТрейд
DOC-2024-1043,Роутер TP-Link AC1750,145806.36,ООО МюСистемс
DOC-2024-1044,Ноутбук Lenovo ThinkPad X1,103641.09,ЗАО БетаТех
DOC-2024-1045,Корпус Fractal Design,113877.28,ЗАО ЛямбдаСофт
DOC-2024-1046,Жесткий диск Seagate 2TB,21175.07,ИП Жданов М.С.
DOC-2024-1047,Сканер Canon CanoScan,70789.94,ООО КаппаТех
DOC-2024-1048,Роутер TP-Link AC1750,145923.77,ЗАО ЛямбдаСофт
DOC-2024-1049,Сканер Canon CanoScan,78613.84,ЗАО БетаТех
